acid,ts_cnt,bank_id,del_flg,disb_ind,due_date,lchg_time,rcre_time,acct_status,delink_acid,health_code,notice_days,sticky_date,ecgc_dr_acid,ext_due_date,lchg_user_id,lm_link_stat,rcre_user_id,rpc_acct_flg,rt_sweep_flg,ecgc_appl_flg,entity_cre_flg,loss_carry_fwd,net_profit_rate,acct_status_date,prev_acct_status,last_aod_aos_date,last_lf_calc_date,lst_ecgc_cal_date,max_alwd_advn_lim,acct_crfile_ref_id,collection_officer,lf_chrg_pend_lines,total_project_cost,adj_for_closure_flg,acct_cls_reason_code,collect_excess_profit,internal_limit_upd_flg,unadj_profit_carry_fwd,wrk_capital_tenor_mths,adj_order_for_carry_fwd,next_dorm_chrg_calc_date,next_inact_chrg_calc_date,updated_at
AC11452098,3,1,N, ,,2023-08-07T22:08:38,2022-08-05T15:41:13,A,,NORMA,0.0,,,,FINADMIN, ,FIVUSR, , ,N,Y, ,0.0,2023-08-07T00:00:00.000000, ,,,,99999999999999.98,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC79059316,2,1,N, ,,2023-08-08T22:45:49,2023-02-07T17:50:30,A,,NORMA,0.0,,,,FINADMIN, ,FIVUSR, , ,N,Y, ,0.0,2023-08-03T00:00:00.000000, ,,,,99999999999999.98,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC66082694,6,1,N, ,,2023-08-13T21:44:50,2018-08-16T09:45:46,A,,NORMA,0.0,,,,FINADMIN, ,PK2076, , ,N,Y, ,0.0,2023-08-13T00:00:00.000000, ,,,,1400000.0,122293,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC45528709,5,1,N, ,,2023-08-28T21:55:57,2021-09-02T17:14:44,A,,NORMA,0.0,,,,FINADMIN, ,FIVUSR, , ,N,Y, ,0.0,2023-08-28T00:00:00.000000, ,,,,99999999999999.98,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC33879690,7,1,N, ,,2023-09-01T22:25:15,2020-12-03T11:06:43,A,,NORMA,0.0,,,,FINADMIN, ,FIVUSR, , ,N,Y, ,0.0,2023-08-31T00:00:00.000000, ,,,,99999999999999.98,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC30297503,3,1,N, ,,2023-09-02T17:51:02,2022-08-31T10:14:09,A,,NORMA,0.0,,,,FINADMIN, ,FIVUSR, , ,N,Y, ,0.0,2023-09-02T00:00:00.000000, ,,,,99999999999999.98,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC12345718,10,1,N, ,,2023-09-06T18:50:29,2013-06-26T17:45:25,A,,NORMA,0.0,,,,FINADMIN, ,SYSTEM, , , ,Y, ,0.0,2023-08-29T00:00:00.000000, ,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC33200722,13,1,N, ,,2023-09-11T00:16:52,2019-02-06T19:16:38,D,,NORMA,0.0,,,,FINADMIN, ,AG2273, , ,N,Y, ,0.0,2023-09-10T00:00:00.000000,A,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,2023-09-10T00:00:00.000000,,2024-08-07 06:42:03.096
AC64034361,10,1,N, ,,2023-09-13T01:50:20,2018-03-05T12:58:31,A,,NORMA,0.0,,,,FINADMIN, ,RT1924, , ,N,Y, ,0.0,2023-09-12T00:00:00.000000, ,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC92623617,6,1,N, ,,2023-09-22T00:13:05,2021-04-06T19:25:21,A,,NORMA,0.0,,,,FINADMIN, ,FIVUSR, , ,N,Y, ,0.0,2023-09-21T00:00:00.000000, ,,,,99999999999999.98,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC22772231,4,1,N, ,,2023-09-23T18:44:00.000000,2022-04-29T10:24:34,A,,NORMA,0.0,,,,FINADMIN, ,FIVUSR, , ,N,Y, ,0.0,2023-08-27T00:00:00.000000, ,,,,99999999999999.98,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC22239436,11,1,N, ,,2023-09-30T18:34:29,2013-06-26T18:02:19,A,,NORMA,0.0,,,,FINADMIN, ,SYSTEM, , , ,Y, ,0.0,2023-09-29T00:00:00.000000, ,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC80009918,5,1,N, ,,2023-09-30T18:46:34,2021-10-06T17:39:39,A,,NORMA,0.0,,,,FINADMIN, ,FIVUSR, , ,N,Y, ,0.0,2023-09-28T00:00:00.000000, ,,,,99999999999999.98,,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC44191554,5,1,N, ,,2023-10-02T00:13:21,2020-07-13T18:20:12,A,,NORMA,0.0,,,,FINADMIN, ,FIVUSR, , ,N,Y, ,0.0,2023-09-29T00:00:00.000000, ,,,,5000000.0,100757,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
AC80514747,11,1,N, ,,2023-10-06T23:25:46,2013-06-26T18:14:08,D,,NORMA,0.0,,,,FINADMIN, ,SYSTEM, , , ,Y, ,0.0,2023-10-06T00:00:00.000000,A,,,,0.0,,,0,0.0, ,, ,, ,0.0, ,2023-10-06T00:00:00.000000,,2024-08-07 06:42:03.096
AC29564593,3,1,N, ,,2023-10-20T19:03:38,2021-01-21T16:32:33,A,,NORMA,0.0,,,,PRAMILAS, ,MM2256, , ,N,Y, ,0.0,2021-01-21T00:00:00.000000, ,,,,0.0,131971,,0,0.0, ,, ,, ,0.0, ,,,2024-08-07 06:42:03.096
